Date,StartTime,Bottom.Time,Purpose.Task,Surface.Interval,Specific.Site,"MaxDepth,m",Temp,Breathing.Gas,"Visibility,m",Buddy.List,Comments
06Apr19,6:30,15,Open Water Padi,NA,"Mission Point, SD",6,,Air,4,,Jesse D. 21739
06Apr19,7:15,15,Open Water Padi,30,"Mission Point, SD",6,,Air,5,,
07Apr19,7:35,10,Open Water Padi,,"La Jolla Beach, SD",10,,Air,2,,"Visability too low, dive ended"
18Apr19,8:20,30,Open Water Padi,,"Mission Point, SD",6,,Air,2,,
18Apr19,9:00,20,Open Water Padi,10,"Mission Point, SD",6,,Air,,,
31May19,14:30,40,Gen Training/Fun dive,,"Mission Point, SD",6,,Air,5,,First dive as certified open water
25Aug19,9:25,36,Advanced Padi,,"Tiki Beach, COZ MX",10,,Air,13,,Sara C. 419608
25Aug19,10:54,44,Advanced Padi,,"Tiki Beach, COZ MX",11,,Air,13,,Navigation
25Sep19,10:03,41,Client Assistance,,"Buffet, Coiba PA",16.8,27,Air,,,
25Sep19,11:44,44,Client Assistance,,"Bajo Vierte, Coiba PA",18.7,27,Air,,,
25Sep19,13:21,39,Client Assistance,,"Mali Mali, Coiba PA",25.8,27,Air,,,
01Oct19,9:38,48,"Advanced, Nitrox",,"Buffet, Coiba PA",19.4,26,Nitrox,,,
01Oct19,11:22,46,"Advanced, Deep",,"Canal de Manta, Coiba PA",23,26,Nitrox,,,
01Oct19,13:32,44,Client Assistance,,"Don Juan, Coiba PA",20.1,26,Air,,,
09Oct19,9:53,52,Client Assistance,,"Buffet, Coiba PA",26.9,27,Air,,,
09Oct19,11:47,53,Client Assistance,,"Canales, Coiba PA",26.7,27,Air,,,
09Oct19,13:59,50,Client Assistance,,"Isla Rancheria, Coiba PA",19.1,26,Air,,,
11Oct19,9:02,47,Client Assistance,,"Frijoles, Coiba PA",23.1,26,Air,,,
11Oct19,10:53,48,Client Assistance,,"Inglesia, Coiba PA",21.8,27,Air,,,
11Oct19,12:51,44,Client Assistance,,"La vivda, Coiba PA",21.1,27,Air,,,
18Oct19,10:06,53,Client Assistance,,"Frijoles, Coiba PA",18.7,26,Air,,,
18Oct19,12:06,56,Client Assistance,,"Canales, Coiba PA",21.2,25,Air,,,
18Oct19,14:13,48,Client Assistance,,"Isla Rancheria, Coiba PA",20,27,Air,,,
22Oct19,9:58,50,Client Assistance,,"Mali Mali, Coiba PA",23.9,26,Air,,,
22Oct19,11:57,43,Client Assistance,,"Inglesia, Coiba PA",26.4,24,Air,,,
22Oct19,14:07,49,Client Assistance,,"Frijoles, Coiba PA",20,26,Air,,,
28Oct19,11:19,51,Client Assistance,,"Bajo Vierte, Coiba PA",26,28,Air,,,
28Oct19,12:36,48,Client Assistance,,"Canales, Coiba PA",21.1,27,Air,,,
28Oct19,14:07,38,Client Assistance,,"Bajo Vierte, Coiba PA",23.5,28,Air,,,
5Nov19,9:16,47,Client Assistance,19:09,"Isla Rancheria, Coiba PA",30.2,26,Nitrox,,,
5Nov19,11:13,49,Client Assistance,1:09,"Mali Mali, Coiba PA",20.4,27,Nitrox,,,
5Nov19,13:09,49,Client Assistance,1:06,"Inglesia, Coiba PA",22.8,27,Nitrox,,,
09Nov19,10:02,40,Client Assistance,,"Bajo Vierte, Coiba PA",8.53,27,Air,,,
09Nov19,10:54,9,Client Assistance,0:11,"Isla Rancheria, Coiba PA",8.8,27,Air,,,
09Nov19,13:58,52,Client Assistance,1:38,"Buffet, Coiba PA",26.8,26,Air,,,
18Nov19,10:07,12,Client Assistance,,"Frijoles, Coiba PA",4,27,Air,,,"Assisted Client who couldn't equalize, Continued dive after surfacing"
22Nov19,9:07,37,Client Assistance,20:35,"Mali Mali, Coiba PA",19.8,26,Air,,,
22Nov19,11:06,43,Client Assistance,1:20,"Inglesia, Coiba PA",23.1,27,Air,,,
22Nov19,13:06,48,Client Assistance,0:36,"La vivda, Coiba PA",19.8,26,Air,,,
24Nov19,9:10,11,Rescue Training,,"Bajo Vierte, Coiba PA",8.5,28,Air,,,"Search and rescure of ""lost cookie monster"""
24Nov19,9:32,42,Rescue Training,0:11,"Isla Rancheria, Coiba PA",19.2,27,Air,,,
24Nov19,11:11,46,Rescue Training,0:55,"Frijoles, Coiba PA",19,27,Air,,,
24Nov19,12:12,7,Rescue Training,0:15,"Buffet, Coiba PA",14.9,28,Air,,,
24Nov19,13:17,57,Rescue Training,0:57,"Inglesia, Coiba PA",24.2,28,Air,,,"""Failed"" rescue training due to jumping in the water before giving proper instruction to boat captain"
4Dec19,9:48,49,Client Assistance,,"La vivda, Coiba PA",25.6,28,Air,,,
4Dec19,11:43,49,Client Assistance,1:07,"Mali Mali, Coiba PA",27.7,28,Air,,,
4Dec19,13:54,48,Client Assistance,1:21,"Buffet, Coiba PA",25.6,27,Air,,,
10Dec19,9:39,46,Rescue Training,,"Inglesia, Coiba PA",21.34,28,Air,,,
10Dec19,11:38,48,Rescue Training,,"Bajo Vierte, Coiba PA",22,27,Air,,,Passed rescue training
10Dec19,13:36,50,Client Assistance,,"Isla Rancheria, Coiba PA",18.5,26,Air,,,
11Dec19,9:32,48,Client Assistance,,"Mali Mali, Coiba PA",27,28,Air,,,
11Dec19,11:22,48,Client Assistance,1:01,"Bajo Vierte, Coiba PA",23.1,28,Air,,,
11Dec19,13:33,41,Client Assistance,1:22,"Inglesia, Coiba PA",24.7,27,Air,,,
14Dec19,9:34,57,Client Assistance,,"Frijoles, Coiba PA",20.1,27,Air,,,
14Dec19,11:38,50,Client Assistance,1:07,"Isla Rancheria, Coiba PA",18.6,27,Air,,,
18Dec19,9:06,42,Client Assistance,,"La vivda, Coiba PA",19.5,27,Air,,,
18Dec19,10:48,50,Client Assistance,0:58,"Frijoles, Coiba PA",20.7,26,Air,,,
18Dec19,12:55,44,Client Assistance,1:16,"Inglesia, Coiba PA",22.2,26,Air,,,
19Sep20,12:54,35,Gen Training/Fun dive,,Breakwater - Middle Reef,17.6,11.6,Air,,,
25Feb21,12:43,16,Gen Training/Fun dive,,Breakwater - Middle Reef,13.4,9.4,Air,,,
04Mar21,12:03,49,Gen Training/Fun dive,,Breakwater - Middle Reef,3.7,11.3,Air,,,
18Mar21,10:50,31,Gen Training/Fun dive,,Breakwater- Wall,3.7,12.8,Air,,,
31Mar21,12:00,41,Gen Training/Fun dive,,Del Monte Beach,13.4,10.5,Air,,,
08Apr21,10:50,36,Gen Training/Fun dive,,Del Monte Beach,6.7,13.2,Air,,,
21-Nov-21,7:25,52,Gen Training/Fun dive,,Breakwater - Middle Reef,8.7,12.7,Air,,,
19-Apr-22,7:37,49,Gen Training/Fun dive,,Breakwater - Middle Reef,14.8,11.2,Air,,,
14-May-21,13:51,38,Take Photos,,Breakwater - Middle Reef,18.9,12,Air,,,
25-Aug-21,17:09,61,Gen Training/Fun dive,,North Monastery,9.7,12.9,Air,,,
4-February-22,16:32,35,Gen Training/Fun dive,,North Monastery,11.3,15,Air,,,
4-Nov-21,16:08,35,Gen Training/Fun dive,,Breakwater - Metridium Fields,14.9,14.9,Air,,,
22-June-21,9:10,39,Gen Training/Fun dive,,McAbee Beach,7.3,11.1,Air,,,
23-Apr-22,10:30,52,Gen Training/Fun dive,,Breakwater- Wall,18.1,14.9,Air,,,
8-September-21,12:26,46,Gen Training/Fun dive,,Breakwater - Middle Reef,17,14.5,Air,,,
15-Jun-21,17:51,49,Gen Training/Fun dive,,Breakwater - Metridium Fields,7.9,11.4,Air,,,
28-Sep-21,11:32,33,Gen Training/Fun dive,,Breakwater- Wall,9.8,12.7,Air,,,
3-Dec-21,10:03,30,Take Photos,,Del Monte Beach,18.8,11.6,Air,,,
12-Jul-21,11:47,58,Gen Training/Fun dive,,Breakwater - Metridium Fields,9.1,13,Air,,,
1-Mar-22,10:29,56,Gen Training/Fun dive,,North Monastery,13.9,14,Air,,,
8-Oct-21,18:55,39,Gen Training/Fun dive,,Breakwater - Middle Reef,18.9,13.8,Air,,,
30-Jan-22,17:21,60,Take Photos,,Breakwater- Wall,7.1,14.1,Air,,,
20-Apr-21,17:45,37,Gen Training/Fun dive,,North Monastery,6.2,11.5,Air,,,
17-May-22,16:44,47,Gen Training/Fun dive,,North Monastery,6.1,10.6,Air,,,
16-Feb-22,11:54,37,Gen Training/Fun dive,,Breakwater - Middle Reef,14.8,11.7,Air,,,
26-Oct-21,8:48,42,Gen Training/Fun dive,,McAbee Beach,8.9,11,Air,,,
20-Apr-22,11:38,42,Gen Training/Fun dive,,Breakwater- Wall,14.7,11.6,Air,,,
14-May-22,11:21,47,Gen Training/Fun dive,,Breakwater - Metridium Fields,8.1,13.5,Air,,,
26-Oct-21,12:22,64,Take Photos,,Breakwater- Wall,15.2,10.5,Air,,,
12-Dec-21,19:24,41,Take Photos,,Breakwater- Wall,16.6,14.6,Air,,,
23-Feb-22,7:15,47,Take Photos,,Del Monte Beach,14.2,13,Air,,,
28-Nov-21,12:22,48,Take Photos,,Del Monte Beach,12.1,12.5,Air,,,
29-November-21,19:41,32,Take Photos,,Breakwater - Middle Reef,7.3,10.3,Air,,,
24-Oct-21,16:21,37,Take Photos,,Breakwater - Metridium Fields,14.1,14.9,Air,,,
19-Apr-21,19:03,35,Take Photos,,Breakwater - Middle Reef,12.4,12.3,Air,,,
26-Oct-21,19:01,40,Gen Training/Fun dive,,North Monastery,11.9,13.7,Air,,,
